chemID,chemMaterial,chemName,chemConcentration,chemAmountExpected,chemAmountUnit,chemLocationRoom,chemLocationCabinet,chemLocationShelf,chemSDS,chemNotes,chemInstrument
225,Non-Flammable Organics,"3,5-Dinitrosalicylic Acid",98%,1200,g,Prep Room,None,None,1,,
226,Non-Flammable Organics,Diphenylamine,99%,1200,g,Prep Room,None,None,1,,
227,Non-Flammable Organics,Diphenylmethane,?,1200,mL,Prep Room,None,None,1,,
228,Non-Flammable Organics,Docosane,99%,1200,g,Prep Room,None,None,1,,
229,Non-Flammable Organics,EDTA,99%,1200,g,Prep Room,None,None,1,,
230,Non-Flammable Organics,Ethanolamine,99%,1200,mL,Prep Room,None,None,1,,
231,Non-Flammable Organics,4-Ethoxyaniline,98%,1200,mL,Prep Room,None,None,1,,
232,Non-Flammable Organics,Ethyl Acetate,95%,1200,L,Prep Room,None,None,1,,
233,Non-Flammable Organics,4-Ethylbenzoic Acid,99%,1200,g,Prep Room,None,None,1,,
234,Non-Flammable Organics,Ethylene Glycol,95%,1200,mL,Prep Room,None,None,1,,
235,Non-Flammable Organics,Ethylene Glycol Diethyl Ether,98%,1200,mL,Prep Room,None,None,1,,
236,Non-Flammable Organics,Ethylene Glycol Dimethyl Ether,99%,1200,mL,Prep Room,None,None,1,,
237,Non-Flammable Organics,Ethylenediaminetetraacetic acid,99%,1200,g,Prep Room,None,None,1,,
238,Non-Flammable Organics,Ethynylestra Diol,Solid,1200,g,Prep Room,None,None,1,,
239,Non-Flammable Organics,Fehlings B,?,1200,mL,Prep Room,None,None,1,,
240,Non-Flammable Organics,Ferrocene,98%,1200,g,Prep Room,None,None,1,,
241,Non-Flammable Organics,Fluorescein,Solid,1200,g,Prep Room,None,None,1,,
242,Non-Flammable Organics,Fmoc-Gly-Wang Resin,Solid,1200,g,Prep Room,None,None,1,,
243,Non-Flammable Organics,Formaldehyde,37%,1200,mL,Prep Room,None,None,1,,
244,Non-Flammable Organics,Fullerene,99%,1200,g,Prep Room,None,None,1,,
245,Non-Flammable Organics,Fumaric Acid,99%,1200,g,Prep Room,None,None,1,,
246,Non-Flammable Organics,Gallium-Indium Eutectic,99.99%,1200,g,Prep Room,None,None,1,,
247,Non-Flammable Organics,Glycerol,95%,1200,L,Prep Room,None,None,1,,
248,Non-Flammable Organics,Guar Gum,95%,1200,g,Prep Room,None,None,1,,
249,Non-Flammable Organics,Hexamethylenediamine,80-95%,1200,g,Prep Room,None,None,1,,
250,Non-Flammable Organics,Hexyl Alcohol,98%,1200,L,Prep Room,None,None,1,,
251,Non-Flammable Organics,Hydrazine,1.0 M,1200,mL,Prep Room,None,None,1,,
252,Non-Flammable Organics,Hydroquinone,99%,1200,g,Prep Room,None,None,1,,
253,Non-Flammable Organics,Hydroxybenzotriazole Hydrate,20%,1200,g,Prep Room,None,None,1,,
254,Non-Flammable Organics,8-Hydroxyquinone,?,1200,mL,Prep Room,None,None,0,,
255,Non-Flammable Organics,Imidazole,99%,1200,g,Prep Room,None,None,1,,
256,Non-Flammable Organics,IonLic DMII,Solid,1200,g,Prep Room,None,None,0,,
257,Non-Flammable Organics,4-Isopropylbenzoic Acid,98%,1200,g,Prep Room,None,None,1,,
