chemBottleIDNUM,chemMaterial,chemName,chemConcentration,chemAmountInBottle,chemAmountUnit,chemLocationRoom,chemSDS,chemNotes,chemInstrument,,,,
282,Non-Flammable Organics,Beta-Naphthol,99%,1200,g,Prep Room,1,,,,,,
283,Non-Flammable Organics,1-Naphthylamine,99%,80,g,Prep Room,1,,,,,,
284,Non-Flammable Organics,4'-Nitroacetophenone,98%,80,g,Prep Room,1,,,,,,
285,Non-Flammable Organics,4-Nitroaniline,99%,400,g,Prep Room,1,,,,,,
286,Non-Flammable Organics,p-Nitroanisole,Solid,60,g,Prep Room,1,,,,,,
287,Non-Flammable Organics,p-Nitrobenzaldehyde,Solid,15,g,Prep Room,1,,,,,,
288,Non-Flammable Organics,4-Nitrophenol,99%,80,g,Prep Room,1,,,,,,
289,Non-Flammable Organics,4-(Nitrophenylazo) Resorcinol,Solid,4,g,Prep Room,1,,,,,,
290,Non-Flammable Organics,1-Octanol,99%,400,mL,Prep Room,1,,,,,,
291,Non-Flammable Organics,2-Octanone,98%,10,g,Prep Room,1,,,,,,
292,Non-Flammable Organics,Oxalic Acid,98%,400,g,Prep Room,1,,,,,,
293,Non-Flammable Organics,Oxalyl Chloride,98%,100,g,Prep Room,1,,,,,,
294,Non-Flammable Organics,Palmitic Acid,Solid,25,g,Prep Room,1,,,,,,
295,Non-Flammable Organics,Paraffin Wax,Solild,9,blocks,Prep Room,1,,,,,,
296,Non-Flammable Organics,Peanut Oil,Household,1/8,of a gallon,Prep Room,1,,,,,,
297,Non-Flammable Organics,"9,10-Phenanthrenequinone",95%,15,g,Prep Room,1,,,,,,
298,Non-Flammable Organics,"1,10-Phenanthroline",99%,30,g,Prep Room,1,,,,,,
299,Non-Flammable Organics,sec-Phenethyl Alcohol,98%,10,g,Prep Room,1,,,,,,
300,Non-Flammable Organics,Phenol,Solid,350,g,Prep Room,1,,,,,,
301,Non-Flammable Organics,Phenylacetic Acid,99%,50,g,Prep Room,1,,,,,,
302,Non-Flammable Organics,4-Phenylthiosemicarbazide,99%,8,g,Prep Room,1,,,,,,
303,Non-Flammable Organics,Phosphazene base,97%,3,mL,Prep Room,1,,,,,,
304,Non-Flammable Organics,Phosphomolybdic Acid,Solid,100,g,Prep Room,1,,,,,,
305,Non-Flammable Organics,Phthalate Acid,Solid,400,g,Prep Room,1,,,,,,
306,Non-Flammable Organics,Polyvinyl Alcohol,99%,2,kg,Prep Room,1,,,,,,
307,Non-Flammable Organics,Polyvinyl Alcohol,Solution,450,mL,Prep Room,1,,,,,,
308,Non-Flammable Organics,Ponceau S Solution,5%,800,mL,Prep Room,1,,,,,,
309,Non-Flammable Organics,Priopiophenone,99%,750,g,Prep Room,1,,,,,,
310,Non-Flammable Organics,4-Propylbenzoic Acid,97%,0.50,g,Prep Room,1,,,,,,
311,Non-Flammable Organics,Pyridine,Solution,1,L,Prep Room,1,,,,,,
312,Non-Flammable Organics,Pyridinium Tribromide,90%,400,g,Prep Room,1,,,,,,
313,Non-Flammable Organics,Salicylic Acid,Solid,400,g,Prep Room,1,,,,,,
